ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
mak_stem_96,mak,defecate,weka,w   e   k   a,,maquiritaricaceres2011[455]
kax_stem_97,kax,defecate,weka,w   e   k   a,,pc[Spike Gildea]
ara_stem_98,ara,defecate,watke,w   a   t   k   e,,souza1993arara[44]
ikp_stem_99,ikp,defecate,atke,a   t   k   e,,chagas2013verbo[118]
way_stem_100,way,defecate,uika,u   i   k   a,,"wayanatavares2005[86, 206]"
tri_stem_101,tri,defecate,weka,w   e   k   a,,triomeira1999[294]
bak_stem_102,bak,defecate,əeke,ə   +   e   k   e,,meira2005bakairi
apa_stem_103,apa,defecate,weka,w   e   k   a,,camargo2002lexico[96]
pan_stem_104,pan,defecate,iʔka,i   ʔ   k   a,Potentially Sp.,mattei1994diccionario[319]
pan_stem_105,pan,defecate,aiʔka,a   +   i   ʔ   k   a,Potentially Sa.,mattei1994diccionario[319]
