"Meaning_ID","Verb_Cognateset_ID","Language_ID","Inflection","Form","Prefix_Cognateset_ID","Source","Full_Form","Comment"
"be","be_2","aku",1,"∅-eʔi-","1w","meiraDBakuriyo","e'ine",
"go","go","ebak",1,"u-də-","1w","meiraDBebakairi","u-dâ-ly; u-dâ-0; u-dâ-aki","Confirmed by pinto2022bakairi"
"go","go","ebak",2,"mɨ-də-","2sa","meiraDBebakairi","my-dâ-ly; my-d-aki; my-dâ-0",
"go","go","ebak",3,"n-ətə-","3sa","meiraDBebakairi","nâ-tâ-0; nâ-tâ-wâ-dai","No other verb has nâ-; *ge* ‘say’ does not become *ke*."
"go","go","ebak","1+2","kɨ-tə-","kut","meiraDBebakairi","ki-tâ-im; ki-tâ-0; ki-tâ-li",
"go","go","ebak","IMP","itə-",,"meiraDBebakairi","i-dâ-0","Still no *-kə*."
"say","say","ebak",1,"u-ge-","1w","meiraDBebakairi","u-ge-ly; u-ge-aki; u-ge-0","Sometimes spelled (?) as <gue> in morphs and comments, but no labial element is mentioned in any publications."
"say","say","ebak",2,"mɨ-ge","2sa","meiraDBebakairi","my-ge-ly; my-ge-ho; a-my-ge-aki",
"say","say","ebak",3,"nɨ-ge","3sa","meiraDBebakairi","ny-ge-0; ny-ge-aki; ny-ge-nwâ",
"say","say","ebak","1+2","kɨ-ke","kut","meiraDBebakairi","ky-ke-ly; ky-ke-nre; ky-ke-0",
"say","say","ebak","PTCP","tə-ke-ze",,"meiraDBebakairi","tâ-ke-ze",
"say","say","ebak","PTCP","tɨ-ke-ze",,"meiraDBebakairi","ty-ke-ze",
"come","come","ebak",2,"m-əewɨ-","2sa","meiraDBebakairi","m-âe-tai; m-âewy-ly; m-âe-dâ; m-âe-mâ; m-âewy-se",
"come","come","ebak","1+2","kɨd-əewɨ-","kut","meiraDBebakairi","kyd-âewy-ly; kyd-âewy-se",
"come","come","ebak",1,"k-əewɨ-","k","meiraDBebakairi","k-âewy-ly; k-âe-tai; k-âe-dâ; k-âewy-se",
"come","come","ebak","PTCP","t-əewɨ-se",,"meiraDBebakairi","t-âewy-se",
"come","come","ebak","IMP","əe-kə",,"meiraDBebakairi","âe-kâ",
"go","go","wbak",1,"u-də-","1w","meiraDBwbakairi","u-dâ-li; u-dâ-0; u-dâ-raki","Confirmed by pinto2022bakairi"
"go","go","wbak",2,"mə-də-","2sa","meiraDBwbakairi","mâ-dâ-li; mâ-dâ-0; mâ-dâ-raki","*ɨ -> ə after labials. pinto2022bakairi[83] interprets the vowel as part of the stem, but the same prefix is found with *ge* ‘say’."
"go","go","wbak",3,"n-ətə-","3sa","meiraDBwbakairi","nâ-tâ-ragui; nâ-tâ-0","No other verb has nâ-."
"go","go","wbak","1+2","kɨ-tə-","kut","meiraDBwbakairi","ky-tâ-0; ky-tâ-ly; ky-ty-agi",
"say","say","wbak",1,"u-ge-","1w","meiraDBwbakairi","u-gue-di'e; u-gue-li; u-gue-raki","<gue> is <ge> in published work."
"go","go","wbak",2,"mə-gue-","2sa","meiraDBwbakairi","mâ-gue-li; mâ-gue-raki; a-mâ-gue-li",
"go","go","wbak","1+2","ki-ke-","kut","meiraDBwbakairi","ki-ke-li; ki-ke-ragui",
