"Language_ID","Form","Source","Cognateset_ID","Class","Comment","Cog_Cert","Meaning_ID"
"PTir","[ə]tə[mɨ]",,"go","S_A_",,1,"go"
"PTir","ka",,"say","S_A_",,1,"say"
"PTir","e+pɨ",,"DETRZ1+bathe_1","S_A_",,1,"bathe_intr"
"aku","e+pɨ","gildea1994akuriyo[87]","DETRZ1+bathe_1","S_A_",,1,"bathe_intr"
"PTir","ɨhtə",,"go_down","S_A_",,1,"go_down"
"PTir","əə+nɨkɨ",,"DETRZ+sleep","S_A_",,1,"sleep"
"aku","əə+nɨkɨ","gildea1994akuriyo[87]","DETRZ+sleep","S_A_",,1,"sleep"
"tri","əə+nɨkɨ","triomeira1999[294]","DETRZ+sleep","S_A_",,1,"sleep"
"PTir","epɨ",,"come","S_A_",,1,"come"
"PPek","ge",,"say","S_A_",,1,"say"
"uxc","i","franchetto1986kuikurotexts[42]","come","–",,1,"come"
"wmr","ɨʔ","lacerda1991waimiri[14]","go","–",,1,"go"
